item,quantity,category,tags,current location,weight,owner,intended location,notes,location notes,potential sell / discard
million dollar classics,1,book,cars,,,,,,,
auto legends,1,book,cars,,,,,,,
super cars,1,book,cars,,,,,,,
cockaleechie,1,book,family,,,,,,,
power moves,1,book,,,,,,,,
living big in a tiny house,1,book,minimalism,,,,,,,
cabin porn,1,book,minimalism,,,,,,,
andy murray,1,book,tennis,,,,,,,
the master: federer,1,book,tennis,,,,,,,
the fireside book of tennis,1,book,tennis,,,,,,,
new perspectives: coastal houses,1,book,,,,,,,,
no bullshit guide to math and physics,1,book,,,,,,,,
professional poker: no limit holdem volume 2,1,book,,,,,,,,
winning ugly,1,book,tennis,,,,,,,
on liberty,1,book,,,,,,,,
schott's original miscellany,1,book,,,,,,,,
the inner game of tennis,1,book,tennis,,,,,,,
the home barista,1,book,,,,,,,,
the social guidebook to norway,1,book,,,,,,,,
the social guidebook to norway 2,1,book,,,,,,,,
city cycling london,1,book,cycling,,,,,,,
epic bike rides of the world,1,book,cycling,,,,,,,
the dog in photography,1,book,,,,,,,,
watches: a guide by hodinkee,1,book,watches,,,,,,,
legendary wristwatches,1,book,watches,,,,,,,
a man & his watch,1,book,watches,,,,,,,
the wristwatch handbook,1,book,watches,,,,,,,
meditations: the annotated edition,1,book,,,,,,,,
head gravity tennis bag,1,,,,,,,,,yes
thinkpad laptop case,1,,,,,,,,,yes
paperlike ipad mini screen protector and installation tools,1,,,,,,,,,yes
cargo works 13 inch laptop sleeve,1,,,,,,kmart box 1,,,yes
evergoods plc20,1,,,,,,,,,yes
grand seiko hat,1,,,,,,,,,yes
wilson ultra pro v4,2,,,,,,,,,yes
wilson blade pro v8,1,,,,,,,,,yes
wilson blade v5,1,,,,,,,,,
yonex sv95,2,,,,,,,,,yes
evergoods CAS2 Grey/Orange,1,,,,,,,,,yes
norbauer norbaforce (1) box,1,,,,,,,,,
norbauer norbaforce (2) (new in box),1,,,,,,,,,
norbauer heavy grail (in box),1,,,,,,,,,
xbox 360 console + power cords,2,,,kmart box 3,,,,,,
xbox original,1, ,,kmart box 3,,,,,,
,,,,,,,,,,
,,,,,,,,,,
wii console,1,video games,games wii,kmart box 3,,,,,,
mario kart wheel,2,video games,,kmart box 3,,,,these are chloe's i think,,
wii controller ('wiimote'),2,video games,,kmart box 3,,,,,,
wii controller ('nunchuck'),2,video games,,kmart box 3,,,,,,
wii sensor bar,1,video games,,kmart box 3,,,,,,
wii power brick and cable,1,video games,,kmart box 3,,,,,,
wii vga cable,1,video games,,kmart box 3,,,,,,
Playstation 4 (PS4),1,video games,,kmart box 3,,,,,,
Playstation 4 (PS4) Power cable,1,video games,,kmart box 3,,,,,,
Playstation 4 (PS4) controller micro usb charging cable,1,video games,,kmart box 3,,,,,,
super mario galaxy,1,video games,,kmart box 3,,,,,,
wiiplay,1,video games,,kmart box 3,,,,,,
need for speed carbon,1,video games,,kmart box 3,,,,,,
the legend of zelda twilight princess,1,video games,,kmart box 3,,,,,,
marioparty 8,1,video games,,kmart box 3,,,,,,
wii sports,1,video games,,kmart box 3,,,,,,
mariokart wii,1,video games,,kmart box 3,,,,,,
super smash bros 3DS,1,video games,games 3DS,kmart box 3,,,,,,
pokemon alpha sapphire,1,video games,games 3DS,kmart box 3,,,,,,
horizon zero dawn,1,video games,games PS4,kmart box 3,,,,,,
call of duty: cold war,1,video games,games PS4,kmart box 3,,,,,,
call of duty: modern warfare (MW19),1,video games,games PS4,kmart box 3,,,,,,
the last of us remastered,1,video games,games PS4,kmart box 3,,,,,,
network cables pouch,1,,,kmart box 4,,,,incl ethernet over power (eop) plugs x2 (if not in use),,
laptop / thinkpad chargers and batteries pouch,1,,,kmart box 4,,,,,,
usb / audio cables pouch,1,,,kmart box 4,,,,"incl UD100 dac, molex PSU power cables",,
o2 headphone amp,1,,,kmart box 4,,,,in the above cables pouch,,
video cables pouch,1,,,kmart box 4,,,,"hdmi to mini hdmi, hdmi to dvi, 3x hdmi, displayport to dvi female, vga",,
old game console video and power cables,1,,,kmart box 3,,,,"wii power supply and video and sensor, psp(?) cables",,
sarah and sebastian engagement ring box (incl. ring documentation),1,jewelry,,,,,,contains ring documentation. other sarah and sebastian jewelry boxes are stored within this biggerb ox,,
"""no 1"" chess set",1,board games,,,,,,lily gave this to me for my birthday in 2022 when we were at bendigo,,
