,quantity,category,tags,current location,weight,owner,intended location,notes,location notes,potential discard / sell
million dollar classics,1,book,cars,yarraville bookshelf,,,,,,
auto legends,1,book,cars,yarraville bookshelf,,,,,,
super cars,1,book,cars,yarraville bookshelf,,,,,,
cockaleechie,1,book,family,yarraville bookshelf,,,,,,
power moves,1,book,,yarraville bookshelf,,,,,,
living big in a tiny house,1,book,minimalism,yarraville bookshelf,,,,,,
cabin porn,1,book,minimalism,yarraville bookshelf,,,,,,
andy murray,1,book,tennis,yarraville bookshelf,,,,,,
the master: federer,1,book,tennis,yarraville bookshelf,,,,,,
the fireside book of tennis,1,book,tennis,yarraville bookshelf,,,,,,
new perspectives: coastal houses,1,book,,yarraville bookshelf,,,,,,
no bullshit guide to math and physics,1,book,,yarraville bookshelf,,,,,,
professional poker: no limit holdem volume 2,1,book,,yarraville bookshelf,,,,,,
winning ugly,1,book,tennis,yarraville bookshelf,,,,,,
on liberty,1,book,,yarraville bookshelf,,,,,,
schott's original miscellany,1,book,,yarraville bookshelf,,,,,,
the inner game of tennis,1,book,tennis,yarraville bookshelf,,,,,,
the home barista,1,book,,yarraville bookshelf,,,,,,
the social guidebook to norway,1,book,,yarraville bookshelf,,,,,,
the social guidebook to norway 2,1,book,,yarraville bookshelf,,,,,,
city cycling london,1,book,cycling,yarraville bookshelf,,,,,,
epic bike rides of the world,1,book,cycling,yarraville bookshelf,,,,,,
the dog in photography,1,book,,yarraville bookshelf,,,,,,
watches: a guide by hodinkee,1,book,watches,yarraville bookshelf,,,,,,
legendary wristwatches,1,book,watches,yarraville bookshelf,,,,,,
a man & his watch,1,book,watches,yarraville bookshelf,,,,,,
the wristwatch handbook,1,book,watches,yarraville bookshelf,,,,,,
meditations: the annotated edition,1,book,,yarraville bookshelf,,,,,,
head gravity tennis bag,1,,,kmart box 1,,,,,,
thinkpad laptop case,1,,,kmart box 1,,,,,,
paperlike ipad mini screen protector and installation tools,1,,,kmart box 1,,,,,,
Logitech C922 Pro webcam,1,,,kmart box 1,,,,,,
cargo works 13 inch laptop sleeve,1,,,kmart box 1,,,,,,
evergoods plc20,1,,,kmart box 1,,,,,,
grand seiko hat,1,,,kmart box 1,,,,,,
wilson ultra pro v4,2,,,kmart box 1,,,,,,
wilson blade pro v8,1,,,kmart box 1,,,,,,
yonex sv95,2,,,kmart box 1,,,,,,
norbauer norbaforce (1) box,1,,,kmart box 3,,,,,,
norbauer norbaforce (2) (new in box),1,,,kmart box 3,,,,,,
norbauer heavy grail (in box),1,,,kmart box 3,,,,,,
wii console,1,video games,games wii,kmart box 3,,,,,,
mario kart wheel,2,video games,,kmart box 3,,,,these are chloe's i think,,
wii controller ('wiimote'),2,video games,,kmart box 3,,,,,,
wii controller ('nunchuck'),2,video games,,kmart box 3,,,,,,
wii sensor bar,1,video games,,kmart box 3,,,,,,
wii power brick and cable,1,video games,,kmart box 3,,,,,,
wii vga cable,1,video games,,kmart box 3,,,,,,
super mario galaxy,1,video games,,kmart box 3,,,,,,
wiiplay,1,video games,,kmart box 3,,,,,,
need for speed carbon,1,video games,,kmart box 3,,,,,,
the legend of zelda twilight princess,1,video games,,kmart box 3,,,,,,
marioparty 8,1,video games,,kmart box 3,,,,,,
wii sports,1,video games,,kmart box 3,,,,,,
mariokart wii,1,video games,,kmart box 3,,,,,,
super smash bros 3DS,1,video games,games 3DS,kmart box 3,,,,,,
pokemon alpha sapphire,1,video games,games 3DS,kmart box 3,,,,,,
horizon zero dawn,1,video games,games PS4,kmart box 3,,,,,,
call of duty: cold war,1,video games,games PS4,kmart box 3,,,,,,
call of duty: modern warfare (MW19),1,video games,games PS4,kmart box 3,,,,,,
the last of us remastered,1,video games,games PS4,kmart box 3,,,,,,
sarah and sebastian engagement ring box (incl. ring documentation),1,jewelry,,kmart box 3,,,,contains ring documentation. other sarah and sebastian jewelry boxes are stored within this biggerb ox,,
"""no 1"" chess set",1,board games,,kmart box 3,,,,lily gave this to me for my birthday in 2022 when we were at bendigo,,
guess who,1,board games,,kmart box 3,,,,has survivor contestants in the pictures instead of the originals,,
asus ROG Ally box,1,boxes,,kmart box 3,,,,,,
fake arnott's shapes,1,toys,,kmart box 3,,,,pretty sure mum got this for me / future kids up at a (huskisson?) market one day,,
"wedding ceremony documents (incl. wedding certificate, wedding ring case)",1,documents,,kmart box 3,,,,"provided by abbie frew on our wedding day, in a green binder thing",,
monopoly deal,1,board games,card games,kmart box 3,,,,,,
"""minim"" set of cards",2,board games,card games,kmart box 3,,,,"i think maybe Dan gave these to me for a present at one point, not totally sure though",,
"freedom"" playing cards",1,,,kmart box 3,,,,,,
casio classpad 330 CAS calculator,1,,,kmart box 3,,,,used this at CGS,,
asics resolution 9,1,shoes,,kmart box 4,,,,,,
tennis only leather grips,4,tennis,,kmart box 4,,,,,,
overgrips in tourna grip container,1,tennis,,kmart box 4,,,,,,
pro stringer,1,,,kmart box 4,,,,,,
luxilon alu power 1 set,1,,,kmart box 4,,,,,,
amazonbasics skipping rope,1,,,kmart box 4,,,,,,
doubleAR diablo 2.4 (1.24mm) reel,1,,,kmart box 4,,,,,,
yonex polytour pro 1.25mm black reel,1,,,kmart box 4,,,,,,
head pro player room stencil,1,,,kmart box 4,,,,,,
yonex orange string bag with tennis balls in it,1,,,kmart box 4,,,,,,
head vapour pro,2,,,kmart box 4,,,,,,
wilson rush pro 3.0 red,1,,,kmart box 4,,,,,,
babolat shoe bag,1,,,kmart box 4,,,,,,
adidas barricade grasscourt shoes,1,,,kmart box 4,,,,,,
asics FF 3 novak hardcourt shoes,1,,,kmart box 4,,,,,,
ankle brace,2,,,kmart box 4,,,,,,
green yonex string bag,1,,,kmart box 4,,,,,,
head TGT334 spare grommets,1,,,kmart box 4,,,,,,
factory wilson base grip,1,,,kmart box 4,,,,in tourna grip case,,
ab roller,1,,,kmart box 4,,,,,,
victor sports ice bag velcro strapping (mount),1,,,kmart box 4,,,,,,
victor sports ice bag velcro strapping,1,,,kmart box 4,,,,,,
spare lead tape,1,,,kmart box 4,,,,,,
power band purple (medium),1,,,kmart box 4,,,,,,
power band red (thin),1,,,kmart box 4,,,,,,
large foldable nike duffel bag,1,,,kmart box 4,,,,,,
ESR running belt,1,,,kmart box 4,,,,,,
tourna rosin powder bag try dry hands,1,,,kmart box 4,,,,,,
adjustable monitor arm,1,,,kmart box 2,,,,,,
spare monitor arm / VESA mount screws x4,1,,,kmart box 2,,,,,,
bellemond paper screen protector for ipad (ipad mini),1,,,kmart box 2,,,,,,
bellemond paper screen protector for ipad (ipad pro 12.9),3,,,kmart box 2,,,,"one of these is chopped up for inkpalm pro use, still some left, 2 full spares remain",,
thinkpad t480 power brick and cable,1,,,kmart box 2,,,,,in amazonbasics slim packing cube 1,
thinkpad x230 44+ battery,1,,,kmart box 2,,,,,in amazonbasics slim packing cube 1,
thinkpad x230 44++ battery,1,,,kmart box 2,,,,,in amazonbasics slim packing cube 1,
o2 headphone amp wall charger (US),1,,,kmart box 2,,,,,in amazonbasics slim packing cube 1,
12v 'k-tec' wall charger,1,,,kmart box 2,,,,,in amazonbasics slim packing cube 1,
wall socket expandor/duplicator (1 to 2),1,,,kmart box 2,,,,,in amazonbasics slim packing cube 1,
white CAT5 ethernet cable,2,,,kmart box 2,,,,,in amazonbasics slim packing cube 1,
white CAT5e ethernet cable,1,,,kmart box 2,,,,,in amazonbasics slim packing cube 1,
black CAT5e ethernet cable,1,,,kmart box 2,,,,,in amazonbasics slim packing cube 1,
gopro hero10 black,1,,,kmart box 2,,,,broken screen,in amazonbasics slim packing cube 2,
ulanzi bendable camera/gopro tripod,1,,,kmart box 2,,,,,in amazonbasics slim packing cube 2,
gopro head strap / mount,1,,,kmart box 2,,,,,in amazonbasics slim packing cube 2,
gopro / phone chest strap / mount,1,,,kmart box 2,,,,,in amazonbasics slim packing cube 2,
gopro mini tripod,1,,,kmart box 2,,,,,in amazonbasics slim packing cube 2,
gopro spare battery,1,,,kmart box 2,,,,,in amazonbasics slim packing cube 2,
gopro spare camera mounts,2,,,kmart box 2,,,,,in amazonbasics slim packing cube 2,
spare ball mount with sticky surface underneath,1,,,kmart box 2,,,,think this might be for gopro as well but not sure,in amazonbasics slim packing cube 2,
misc norbauer items,1,keyboards,,kmart box 2,,,,,in amazonbasics medium packing cube,
black keycaps (taohao),1,keyboards,keycaps,kmart box 2,,,,,in amazonbasics medium packing cube,
green keycaps (taohao),1,keyboards,keycaps,kmart box 2,,,,,in amazonbasics medium packing cube,
red keycaps (taohao),1,keyboards,keycaps,kmart box 2,,,,,in amazonbasics medium packing cube,
yellow keycaps (taohao),1,keyboards,keycaps,kmart box 2,,,,,in amazonbasics medium packing cube,
blue keycaps (taohao),1,keyboards,keycaps,kmart box 2,,,,,in amazonbasics medium packing cube,
GMK black keycaps,1,keyboards,keycaps,kmart box 2,,,,,in amazonbasics medium packing cube,
GMK keycaps (white / bleached),1,keyboards,keycaps,kmart box 2,,,,,in amazonbasics medium packing cube,
PBT kbdfans blank white keycaps,1,keyboards,keycaps,kmart box 2,,,,,in amazonbasics medium packing cube,
"spare keyswitches (mostly tangerines a few holy pandas, alpacas)",1,keyboards,keyswitches,kmart box 2,,,,,in amazonbasics medium packing cube,
"misc spare keycaps (spacebars, etc)",1,keyboards,keycaps,kmart box 2,,,,,in amazonbasics medium packing cube,
misc spare keyboard accessories / tools,1,keyboards,keyswitches tools,kmart box 2,,,,"keyswitch puller, keycap puller, stabilisers, lubes, films keyswitch disassembly tool",in amazonbasics medium packing cube,
hdmi cable (1m),,,,kmart box 2,,,,,in amazonbasics small packing cube,
vga cable,,,,kmart box 2,,,,,in amazonbasics small packing cube,
UD100 headphone dac,,,,kmart box 2,,,,,in amazonbasics small packing cube,
3.5mm to RCA (red/white) cable,,,,kmart box 2,,,,,in amazonbasics small packing cube,
usb c male to female (extension) cable,,,,kmart box 2,,,,,in amazonbasics small packing cube,
usb a to micro usb cable,,,,kmart box 2,,,,,in amazonbasics small packing cube,
3.5mm audio (separate input/output) extension cable,,,headphones,kmart box 2,,,,,in amazonbasics small packing cube,
apple watch charger in 'imac' rubber stand,,,,kmart box 2,,,,,in amazonbasics small packing cube,
razer deathadder mouse,,,,kmart box 2,,,,,in amazonbasics small packing cube,
apple mac 60w charger and usb cable,,,,kmart box 2,,,,,in amazonbasics small packing cube,
o2 headphone amp,,,,kmart box 2,,,,,in amazonbasics small packing cube,
molex cable,2,,,kmart box 2,,,,"used for PC component power, sometimes hard drives",in amazonbasics small packing cube,
hdmi cable (1.5m),,,,kmart box 2,,,,,in amazonbasics small packing cube,
